payer_country,recipient_country,income_type,domestic_rate,treaty_article,treaty_rate,reduced_rate,conditions,beneficial_owner_required,holding_percentage,holding_period_months,eu_directive,required_documents,official_treaty_source,official_domestic_source,last_verified,review_status
CZ,AU,dividends,,,,,,,,,,,,,,TODO
CZ,AU,interest,,,,,,,,,,,,,,TODO
CZ,AU,royalties,,,,,,,,,,,,,,TODO
CZ,AT,dividends,,,,,,,,,,,,,,TODO
CZ,AT,interest,,,,,,,,,,,,,,TODO
CZ,AT,royalties,,,,,,,,,,,,,,TODO
CZ,BE,dividends,,,,,,,,,,,,,,TODO
CZ,BE,interest,,,,,,,,,,,,,,TODO
CZ,BE,royalties,,,,,,,,,,,,,,TODO
CZ,CA,dividends,,,,,,,,,,,,,,TODO
CZ,CA,interest,,,,,,,,,,,,,,TODO
CZ,CA,royalties,,,,,,,,,,,,,,TODO
CZ,CL,dividends,,,,,,,,,,,,,,TODO
CZ,CL,interest,,,,,,,,,,,,,,TODO
CZ,CL,royalties,,,,,,,,,,,,,,TODO
CZ,CO,dividends,,,,,,,,,,,,,,TODO
CZ,CO,interest,,,,,,,,,,,,,,TODO
CZ,CO,royalties,,,,,,,,,,,,,,TODO
CZ,CR,dividends,,,,,,,,,,,,,,TODO
CZ,CR,interest,,,,,,,,,,,,,,TODO
CZ,CR,royalties,,,,,,,,,,,,,,TODO
CZ,CZ,dividends,,,,,,,,,,,,,,TODO
CZ,CZ,interest,,,,,,,,,,,,,,TODO
CZ,CZ,royalties,,,,,,,,,,,,,,TODO
CZ,DK,dividends,,,,,,,,,,,,,,TODO
CZ,DK,interest,,,,,,,,,,,,,,TODO
CZ,DK,royalties,,,,,,,,,,,,,,TODO
CZ,EE,dividends,,,,,,,,,,,,,,TODO
CZ,EE,interest,,,,,,,,,,,,,,TODO
CZ,EE,royalties,,,,,,,,,,,,,,TODO
CZ,FI,dividends,,,,,,,,,,,,,,TODO
CZ,FI,interest,,,,,,,,,,,,,,TODO
CZ,FI,royalties,,,,,,,,,,,,,,TODO
CZ,FR,dividends,,,,,,,,,,,,,,TODO
CZ,FR,interest,,,,,,,,,,,,,,TODO
CZ,FR,royalties,,,,,,,,,,,,,,TODO
CZ,DE,dividends,,,,,,,,,,,,,,TODO
CZ,DE,interest,,,,,,,,,,,,,,TODO
CZ,DE,royalties,,,,,,,,,,,,,,TODO
CZ,GR,dividends,,,,,,,,,,,,,,TODO
CZ,GR,interest,,,,,,,,,,,,,,TODO
CZ,GR,royalties,,,,,,,,,,,,,,TODO
CZ,HU,dividends,,,,,,,,,,,,,,TODO
CZ,HU,interest,,,,,,,,,,,,,,TODO
CZ,HU,royalties,,,,,,,,,,,,,,TODO
CZ,IS,dividends,,,,,,,,,,,,,,TODO
CZ,IS,interest,,,,,,,,,,,,,,TODO
CZ,IS,royalties,,,,,,,,,,,,,,TODO
CZ,IE,dividends,,,,,,,,,,,,,,TODO
CZ,IE,interest,,,,,,,,,,,,,,TODO
CZ,IE,royalties,,,,,,,,,,,,,,TODO
CZ,IL,dividends,,,,,,,,,,,,,,TODO
CZ,IL,interest,,,,,,,,,,,,,,TODO
CZ,IL,royalties,,,,,,,,,,,,,,TODO
CZ,IT,dividends,,,,,,,,,,,,,,TODO
CZ,IT,interest,,,,,,,,,,,,,,TODO
CZ,IT,royalties,,,,,,,,,,,,,,TODO
CZ,JP,dividends,,,,,,,,,,,,,,TODO
CZ,JP,interest,,,,,,,,,,,,,,TODO
CZ,JP,royalties,,,,,,,,,,,,,,TODO
CZ,KR,dividends,,,,,,,,,,,,,,TODO
CZ,KR,interest,,,,,,,,,,,,,,TODO
CZ,KR,royalties,,,,,,,,,,,,,,TODO
CZ,LV,dividends,,,,,,,,,,,,,,TODO
CZ,LV,interest,,,,,,,,,,,,,,TODO
CZ,LV,royalties,,,,,,,,,,,,,,TODO
CZ,LT,dividends,,,,,,,,,,,,,,TODO
CZ,LT,interest,,,,,,,,,,,,,,TODO
CZ,LT,royalties,,,,,,,,,,,,,,TODO
CZ,LU,dividends,,,,,,,,,,,,,,TODO
CZ,LU,interest,,,,,,,,,,,,,,TODO
CZ,LU,royalties,,,,,,,,,,,,,,TODO
CZ,MX,dividends,,,,,,,,,,,,,,TODO
CZ,MX,interest,,,,,,,,,,,,,,TODO
CZ,MX,royalties,,,,,,,,,,,,,,TODO
CZ,NL,dividends,,,,,,,,,,,,,,TODO
CZ,NL,interest,,,,,,,,,,,,,,TODO
CZ,NL,royalties,,,,,,,,,,,,,,TODO
CZ,NZ,dividends,,,,,,,,,,,,,,TODO
CZ,NZ,interest,,,,,,,,,,,,,,TODO
CZ,NZ,royalties,,,,,,,,,,,,,,TODO
CZ,NO,dividends,,,,,,,,,,,,,,TODO
CZ,NO,interest,,,,,,,,,,,,,,TODO
CZ,NO,royalties,,,,,,,,,,,,,,TODO
CZ,PL,dividends,,,,,,,,,,,,,,TODO
CZ,PL,interest,,,,,,,,,,,,,,TODO
CZ,PL,royalties,,,,,,,,,,,,,,TODO
CZ,PT,dividends,,,,,,,,,,,,,,TODO
CZ,PT,interest,,,,,,,,,,,,,,TODO
CZ,PT,royalties,,,,,,,,,,,,,,TODO
CZ,SK,dividends,,,,,,,,,,,,,,TODO
CZ,SK,interest,,,,,,,,,,,,,,TODO
CZ,SK,royalties,,,,,,,,,,,,,,TODO
CZ,SI,dividends,,,,,,,,,,,,,,TODO
CZ,SI,interest,,,,,,,,,,,,,,TODO
CZ,SI,royalties,,,,,,,,,,,,,,TODO
CZ,ES,dividends,,,,,,,,,,,,,,TODO
CZ,ES,interest,,,,,,,,,,,,,,TODO
CZ,ES,royalties,,,,,,,,,,,,,,TODO
CZ,SE,dividends,,,,,,,,,,,,,,TODO
CZ,SE,interest,,,,,,,,,,,,,,TODO
CZ,SE,royalties,,,,,,,,,,,,,,TODO
CZ,CH,dividends,,,,,,,,,,,,,,TODO
CZ,CH,interest,,,,,,,,,,,,,,TODO
CZ,CH,royalties,,,,,,,,,,,,,,TODO
CZ,TR,dividends,,,,,,,,,,,,,,TODO
CZ,TR,interest,,,,,,,,,,,,,,TODO
CZ,TR,royalties,,,,,,,,,,,,,,TODO
CZ,GB,dividends,,,,,,,,,,,,,,TODO
CZ,GB,interest,,,,,,,,,,,,,,TODO
CZ,GB,royalties,,,,,,,,,,,,,,TODO
CZ,US,dividends,,,,,,,,,,,,,,TODO
CZ,US,interest,,,,,,,,,,,,,,TODO
CZ,US,royalties,,,,,,,,,,,,,,TODO
