payer,recipient,income_type,status,article,paragraph,treaty_rate,reduced_rates,protocol,eu_directive,sources,documentation
CZ,AT,dividends,draft,,,,0,False,True,0,1
CZ,AT,interest,draft,,,,0,,,0,1
CZ,AT,royalties,draft,,,,0,,,0,1
CZ,AU,dividends,draft,,,,0,,,0,1
CZ,AU,interest,draft,,,,0,,,0,1
CZ,AU,royalties,draft,,,,0,,,0,1
CZ,BE,dividends,draft,,,,0,,,0,1
CZ,BE,interest,draft,,,,0,,,0,1
CZ,BE,royalties,draft,,,,0,,,0,1
CZ,BG,dividends,draft,,,,0,,,0,1
CZ,BG,interest,draft,,,,0,,,0,1
CZ,BG,royalties,draft,,,,0,,,0,1
CZ,BR,dividends,draft,,,,0,,,0,1
CZ,BR,interest,draft,,,,0,,,0,1
CZ,BR,royalties,draft,,,,0,,,0,1
CZ,CA,dividends,draft,,,,0,,,0,1
CZ,CA,interest,draft,,,,0,,,0,1
CZ,CA,royalties,draft,,,,0,,,0,1
CZ,CH,dividends,draft,10,2,5,1,False,False,1,1
CZ,CH,interest,draft,,,,0,,,0,1
CZ,CH,royalties,draft,,,,0,,,0,1
CZ,CN,dividends,draft,,,,0,,,0,1
CZ,CN,interest,draft,,,,0,,,0,1
CZ,CN,royalties,draft,,,,0,,,0,1
CZ,CY,dividends,draft,,,,0,,,0,1
CZ,CY,interest,draft,,,,0,,,0,1
CZ,CY,royalties,draft,,,,0,,,0,1
CZ,DE,dividends,draft,,,,0,False,True,0,1
CZ,DE,interest,draft,11,1,0.0,0,False,False,0,0
CZ,DE,royalties,draft,,,,0,,,0,1
CZ,DK,dividends,draft,,,,0,,,0,1
CZ,DK,interest,draft,,,,0,,,0,1
CZ,DK,royalties,draft,,,,0,,,0,1
CZ,EE,dividends,draft,,,,0,,,0,1
CZ,EE,interest,draft,,,,0,,,0,1
CZ,EE,royalties,draft,,,,0,,,0,1
CZ,ES,dividends,draft,,,,0,,,0,1
