payer,recipient,income_type,priority,status,scope
CZ,CL,dividends,HIGH,MISSING,phase_1_oecd
CZ,CL,interest,HIGH,MISSING,phase_1_oecd
CZ,CL,royalties,HIGH,MISSING,phase_1_oecd
CZ,CO,dividends,HIGH,MISSING,phase_1_oecd
CZ,CO,interest,HIGH,MISSING,phase_1_oecd
CZ,CO,royalties,HIGH,MISSING,phase_1_oecd
CZ,CR,dividends,HIGH,MISSING,phase_1_oecd
CZ,CR,interest,HIGH,MISSING,phase_1_oecd
CZ,CR,royalties,HIGH,MISSING,phase_1_oecd
CZ,CZ,dividends,HIGH,MISSING,phase_1_oecd
CZ,CZ,interest,HIGH,MISSING,phase_1_oecd
CZ,CZ,royalties,HIGH,MISSING,phase_1_oecd
CZ,False,dividends,HIGH,MISSING,phase_1_oecd
CZ,False,interest,HIGH,MISSING,phase_1_oecd
CZ,False,royalties,HIGH,MISSING,phase_1_oecd
